Channel,Region,Fresh,Milk,Frozen,Delicassen,Household_Items,k_cluster,h_cluster
2,3,12669,9656,214,1338,10235,0.0,2.0
2,3,7057,9810,1762,1776,12861,0.0,2.0
2,3,6353,8808,2405,7844,11200,0.0,2.0
1,3,13265,1196,6404,1788,4728,1.0,1.0
2,3,22615,5410,3915,5185,8975,1.0,2.0
2,3,9413,8259,666,1451,6921,0.0,2.0
2,3,12126,3199,480,545,10115,0.0,1.0
2,3,7579,4956,1669,2566,12747,0.0,2.0
1,3,5963,3648,425,750,7908,0.0,3.0
2,3,6006,11093,1159,2098,26306,0.0,2.0
2,3,3366,5403,4400,1744,18951,0.0,2.0
2,3,13146,1124,1420,497,5072,1.0,1.0
2,3,31714,12319,287,2931,15638,0.0,2.0
2,3,21217,6208,3095,602,21689,0.0,2.0
2,3,24653,9465,294,2168,17149,0.0,2.0
1,3,10253,1114,397,412,4785,1.0,1.0
2,3,1020,8816,134,1080,16629,0.0,3.0
1,3,5876,6157,839,4478,3303,0.0,1.0
2,3,18601,6327,2205,3181,12866,0.0,2.0
1,3,7780,2495,669,501,11982,0.0,1.0
2,3,17546,4519,1066,2124,6861,1.0,2.0
1,3,5567,871,3383,569,2385,1.0,1.0
1,3,31276,1917,9408,4334,6850,1.0,1.0
2,3,22647,9776,2915,5778,18274,0.0,3.0
2,3,16165,4230,201,57,11598,1.0,1.0
1,3,9898,961,3151,833,3103,1.0,1.0
1,3,14276,803,485,518,3145,0.0,2.0
2,3,4113,20484,1158,5206,34561,1.0,1.0
1,3,43088,2100,1200,823,3716,0.0,2.0
1,3,18815,3610,1148,2963,13241,0.0,1.0
1,3,2612,4339,2088,985,3953,1.0,1.0
1,3,21632,1318,266,405,3804,1.0,1.0
1,3,29729,4786,6130,1083,7687,0.0,1.0
1,3,1502,1979,425,395,2745,0.0,3.0
2,3,688,5491,833,436,15330,1.0,2.0
1,3,29955,4362,1729,4626,6290,0.0,2.0
2,3,15168,10556,1920,714,18983,0.0,3.0
2,3,4591,15729,33,433,23665,1.0,1.0
1,3,56159,555,10002,2916,1114,1.0,1.0
1,3,24025,4332,9510,5864,5902,1.0,2.0
1,3,19176,3065,2033,2802,8531,0.0,3.0
2,3,10850,7555,188,46,21860,0.0,3.0
2,3,630,11095,787,72,33527,0.0,3.0
2,3,9670,7027,541,65,15089,0.0,2.0
2,3,5181,22044,1740,4985,28884,0.0,2.0
2,3,3103,14069,1668,1452,28747,0.0,2.0
2,3,11519,6152,584,1476,15989,1.0,1.0
2,3,4967,21412,1798,1163,42504,0.0,3.0
1,3,6269,1095,3860,2162,2589,0.0,1.0
1,3,3347,4051,239,301,8534,0.0,3.0
2,3,40721,3916,532,1278,8463,1.0,1.0
2,3,491,10473,744,224,17143,0.0,2.0
1,3,27329,1449,2436,1333,2151,0.0,3.0
1,3,5264,3683,1057,1130,7029,1.0,1.0
2,3,5417,9933,38,1282,18059,0.0,3.0
1,3,13779,1970,596,436,1875,0.0,2.0
1,3,6137,5360,129,1603,11124,0.0,2.0
2,3,8590,3045,96,225,11949,1.0,1.0
2,3,7823,6245,4154,964,10618,0.0,2.0
2,3,9396,11601,2896,1295,23452,0.0,1.0
1,3,4760,1227,3724,1145,4497,1.0,1.0
1,3,9,1534,175,27,10885,1.0,1.0
2,3,19913,6759,1256,834,18603,1.0,1.0
1,3,2446,7260,5870,3095,4781,1.0,1.0
1,3,8352,2820,779,144,1949,0.0,2.0
1,3,16705,2037,10643,1365,3318,1.0,1.0
1,3,18291,1266,5373,14472,25215,0.0,1.0
1,3,4420,5139,8872,181,3982,0.0,2.0
2,3,19899,5332,8132,648,9477,1.0,1.0
2,3,8190,6343,1285,1780,11695,0.0,1.0
1,3,20398,1137,4407,975,6,1.0,1.0
1,3,717,3587,7530,894,7061,0.0,3.0
2,3,12205,12697,869,1009,40574,0.0,2.0
1,3,10766,1175,2096,167,2368,1.0,1.0
1,3,1640,3259,868,1653,4857,1.0,1.0
1,3,7005,829,430,529,3619,1.0,2.0
2,3,219,9540,283,156,22221,1.0,1.0
2,3,10362,9232,737,2342,14546,1.0,1.0
1,3,20874,1563,2320,772,2333,1.0,1.0
2,3,11867,3327,1178,120,8651,1.0,1.0
1,3,43265,5025,6312,14351,9696,0.0,3.0
1,3,7864,542,9735,46,4207,0.0,3.0
1,3,24904,3836,3443,3178,5784,0.0,3.0
1,3,11405,596,3347,360,1707,1.0,3.0
1,3,12754,2762,8693,1117,3157,1.0,3.0
2,3,9198,27472,3232,5130,50940,1.0,1.0
1,3,11314,3090,35009,2698,2133,0.0,2.0
2,3,5626,12220,206,244,16361,0.0,3.0
1,3,3,2920,440,709,6475,0.0,2.0
2,3,23,2616,145,217,11992,1.0,1.0
1,3,403,254,774,63,664,1.0,1.0
1,3,503,112,895,132,834,0.0,3.0
1,3,9658,2182,5639,323,2124,0.0,2.0
2,3,11594,7779,3252,3029,20179,0.0,3.0
2,3,1420,10810,1593,1838,23033,0.0,3.0
2,3,2932,6459,2561,1386,12250,1.0,1.0
1,3,14100,2132,1336,548,4936,1.0,1.0
1,3,15587,1014,910,1378,4109,1.0,1.0
2,3,1454,6337,133,1831,17534,1.0,1.0
2,3,8797,10646,2471,1438,23855,1.0,1.0
2,3,1531,8397,247,1236,9486,1.0,1.0
2,3,1406,16729,673,3,29822,1.0,2.0
1,3,11818,1648,2276,1647,1863,1.0,1.0
2,3,12579,11114,805,1519,24026,1.0,1.0
1,3,19046,2770,8853,2708,2952,1.0,1.0
1,3,14438,2295,3220,1561,2318,1.0,1.0
1,3,18044,1080,2555,1266,2118,1.0,1.0
1,3,11134,793,2715,610,3264,0.0,3.0
1,3,11173,2521,1517,222,3665,1.0,1.0
1,3,6990,3880,1647,1160,5699,1.0,1.0
1,3,20049,1891,5343,933,2773,1.0,1.0
1,3,8258,2344,3896,635,2413,0.0,2.0
1,3,17160,1200,2417,1136,3586,0.0,3.0
1,3,4020,3234,2395,255,1762,1.0,1.0
1,3,12212,201,1991,860,270,1.0,1.0
2,3,11170,10769,2194,143,10790,1.0,3.0
1,3,36050,1642,4787,1621,3461,1.0,1.0
1,3,76237,3473,16538,918,7880,1.0,1.0
1,3,19219,1840,8195,483,2007,1.0,1.0
2,3,21465,7243,880,2749,13071,1.0,1.0
1,3,140,8847,142,3,4885,0.0,2.0
1,3,42312,926,1718,1819,1920,0.0,3.0
1,3,7149,2428,6316,911,1094,0.0,2.0
1,3,2101,589,346,310,384,0.0,1.0
1,3,14903,2032,576,328,3434,1.0,2.0
1,3,9434,1042,436,396,1491,0.0,2.0
1,3,7388,1882,720,537,2221,1.0,1.0
1,3,6300,1289,1170,326,2790,1.0,1.0
1,3,4625,8579,4575,1542,9477,0.0,1.0
1,3,3087,8080,661,36,9003,0.0,2.0
1,3,13537,4257,155,3271,5283,1.0,1.0
1,3,5387,4979,825,929,3980,1.0,1.0
1,3,17623,4280,2279,2616,8265,1.0,1.0
1,3,30379,13252,321,1450,5240,1.0,1.0
1,3,37036,7152,2995,3,8273,1.0,1.0
1,3,10405,1596,8425,318,1495,0.0,1.0
1,3,18827,3677,118,201,2504,1.0,1.0
2,3,22039,8384,42,4430,47383,0.0,1.0
1,3,7769,1936,926,520,2250,1.0,3.0
1,3,9203,3373,1286,526,3789,0.0,3.0
1,3,5924,584,4052,434,825,0.0,3.0
1,3,31812,1433,800,1440,1764,1.0,1.0
1,3,16225,1825,853,1067,1935,0.0,3.0
1,3,1289,3328,531,1774,2277,0.0,3.0
1,3,18840,1371,3001,184,3487,0.0,3.0
1,3,3463,9250,779,1627,2670,1.0,1.0
1,3,622,55,75,8,144,1.0,1.0
2,3,1989,10690,233,2153,31037,0.0,2.0
2,3,3830,5291,317,3182,21549,0.0,3.0
1,3,17773,1366,3378,418,3285,0.0,2.0
2,3,2861,6570,930,1682,13622,0.0,2.0
2,3,355,7704,398,303,22759,0.0,1.0
2,3,1725,3651,824,2157,17246,1.0,1.0
1,3,12434,540,1092,2233,286,1.0,1.0
1,3,15177,2024,2665,610,4042,0.0,3.0
2,3,5531,15726,2367,446,40596,0.0,3.0
2,3,5224,7603,2540,238,12258,0.0,3.0
2,3,15615,12653,4425,2379,26966,0.0,3.0
2,3,4822,6721,993,3637,14143,0.0,1.0
1,3,2926,3195,405,693,4948,0.0,3.0
1,3,5809,735,1393,429,882,1.0,1.0
1,3,5414,717,2399,750,2224,1.0,2.0
2,3,260,8675,1116,323,20445,0.0,1.0
2,3,200,25862,651,6250,28589,1.0,1.0
1,3,955,5479,333,707,9376,0.0,2.0
2,3,514,7677,937,716,29641,0.0,3.0
1,3,286,1208,2515,1442,5394,0.0,3.0
2,3,2343,7845,52,1697,16070,1.0,1.0
1,3,45640,6958,7368,230,8068,1.0,1.0
1,3,12759,7330,1752,2631,4553,0.0,3.0
1,3,11002,7075,1152,395,5065,0.0,3.0
1,3,3157,4888,4477,2165,2773,0.0,3.0
1,3,12356,6036,402,2794,10269,1.0,1.0
1,3,694,8533,443,156,17425,1.0,1.0
1,3,327,918,74,11,5044,1.0,1.0
1,3,8170,6448,2181,247,1197,1.0,1.0
1,3,3009,521,3470,727,1803,1.0,1.0
1,3,2438,8002,6269,3,13278,0.0,3.0
2,3,8040,7639,2758,404,18526,1.0,1.0
2,3,834,11577,275,1856,15549,1.0,1.0
1,3,16936,6250,7332,64,2099,0.0,2.0
1,3,13624,295,890,84,1424,0.0,2.0
1,3,5509,1461,547,409,2438,1.0,2.0
2,3,180,3485,959,666,25910,0.0,3.0
1,3,7107,1012,806,1142,3329,1.0,1.0
1,3,17023,5139,7888,1755,5560,0.0,3.0
1,1,30624,7209,18711,2876,5660,1.0,1.0
2,1,2427,7097,1127,1468,14705,0.0,3.0
1,1,11686,2154,3527,697,7416,0.0,1.0
1,1,9670,2280,520,347,2514,0.0,3.0
2,1,3067,13240,3941,731,33086,1.0,1.0
2,1,4484,14399,3549,1681,38943,1.0,1.0
1,1,25203,11487,5065,6854,9774,0.0,3.0
1,1,583,685,469,18,3170,0.0,3.0
1,1,1956,891,1383,1328,5231,0.0,2.0
2,1,1107,11711,955,710,32861,0.0,3.0
1,1,6373,780,878,285,1238,1.0,1.0
2,1,2541,4737,2946,120,11405,0.0,3.0
1,1,1537,3748,1859,806,9219,1.0,1.0
2,1,5550,12729,864,797,29187,1.0,1.0
1,1,18567,1895,1801,2100,1637,0.0,3.0
1,1,7291,1012,1291,1775,2302,1.0,1.0
1,1,3317,6602,1329,1215,10822,1.0,1.0
